,date,title_pos,title_neg,desc_pos,desc_neg,content_pos,content_neg
564,2018-02-08,1,0,1,0,1,0
565,2018-02-09,1,0,1,0,1,0
566,2018-02-09,0,1,0,1,1,0
567,2018-02-09,0,1,1,0,1,0
568,2018-02-09,1,0,1,0,1,0
569,2018-02-09,1,0,0,1,0,0
570,2018-02-09,0,1,1,0,1,0
571,2018-02-09,1,0,1,0,1,0
572,2018-02-10,1,0,1,0,1,0
573,2018-02-10,0,1,1,0,1,0
574,2018-02-10,0,1,0,1,1,0
575,2018-02-10,0,1,1,0,1,0
576,2018-02-10,1,0,1,0,1,0
577,2018-02-10,1,0,1,0,1,0
578,2018-02-11,0,1,1,0,1,0
579,2018-02-11,1,0,1,0,1,0
580,2018-02-11,1,0,1,0,1,0
581,2018-02-11,1,0,1,0,1,0
582,2018-02-11,1,0,1,0,1,0
583,2018-02-12,1,0,1,0,1,0
584,2018-02-12,0,1,1,0,1,0
585,2018-02-12,1,0,1,0,0,0
586,2018-02-12,1,0,1,0,1,0
587,2018-02-12,1,0,1,0,1,0
588,2018-02-12,1,0,1,0,1,0
589,2018-02-12,1,0,0,1,1,0
590,2018-02-13,1,0,1,0,1,0
591,2018-02-13,0,1,1,0,1,0
592,2018-02-13,1,0,1,0,1,0
593,2018-02-13,0,1,1,0,1,0
594,2018-02-13,1,0,0,1,1,0
595,2018-02-14,0,1,1,0,1,0
596,2018-02-14,1,0,0,1,1,0
597,2018-02-14,0,1,1,0,1,0
598,2018-02-14,1,0,1,0,1,0
599,2018-02-14,0,1,1,0,1,0
600,2018-02-15,1,0,1,0,1,0
601,2018-02-15,1,0,1,0,1,0
602,2018-02-15,1,0,1,0,1,0
603,2018-02-15,0,1,1,0,1,0
604,2018-02-15,0,1,0,1,0,0
605,2018-02-15,0,1,1,0,1,0
606,2018-02-15,0,1,1,0,1,0
607,2018-02-16,1,0,1,0,1,0
608,2018-02-16,1,0,0,1,1,0
609,2018-02-16,0,1,0,1,1,0
610,2018-02-16,1,0,1,0,1,0
611,2018-02-16,1,0,1,0,1,0
612,2018-02-16,1,0,1,0,1,0
613,2018-02-17,1,0,1,0,1,0
614,2018-02-17,1,0,1,0,1,0
615,2018-02-17,1,0,1,0,1,0
616,2018-02-17,1,0,1,0,1,0
617,2018-02-18,1,0,1,0,1,0
618,2018-02-18,1,0,1,0,1,0
619,2018-02-18,1,0,1,0,1,0
620,2018-02-18,0,1,1,0,1,0
621,2018-02-18,1,0,1,0,1,0
622,2018-02-19,0,1,1,0,1,0
623,2018-02-19,1,0,1,0,1,0
624,2018-02-19,0,1,0,1,1,0
625,2018-02-19,0,1,1,0,1,0
626,2018-02-19,1,0,1,0,1,0
627,2018-02-19,0,1,1,0,1,0
628,2018-02-20,1,0,0,1,1,0
629,2018-02-20,1,0,1,0,1,0
630,2018-02-20,0,1,1,0,1,0
631,2018-02-20,0,1,0,1,1,0
632,2018-02-20,0,1,1,0,1,0
633,2018-02-21,1,0,1,0,1,0
634,2018-02-21,1,0,1,0,1,0
635,2018-02-21,0,1,1,0,1,0
636,2018-02-21,0,1,1,0,1,0
637,2018-02-21,0,1,0,1,1,0
638,2018-02-22,0,1,0,1,1,0
639,2018-02-22,1,0,1,0,1,0
640,2018-02-22,1,0,1,0,1,0
641,2018-02-22,1,0,1,0,1,0
642,2018-02-22,0,1,0,1,1,0
643,2018-02-23,1,0,1,0,1,0
644,2018-02-23,1,0,1,0,1,0
645,2018-02-23,1,0,1,0,1,0
646,2018-02-23,1,0,1,0,1,0
647,2018-02-24,0,1,1,0,1,0
648,2018-02-24,1,0,1,0,1,0
649,2018-02-24,1,0,1,0,1,0
650,2018-02-24,1,0,1,0,1,0
651,2018-02-25,0,1,1,0,1,0
652,2018-02-25,1,0,1,0,1,0
653,2018-02-25,0,1,1,0,1,0
654,2018-02-25,1,0,1,0,1,0
655,2018-02-26,0,1,0,1,0,1
656,2018-02-26,1,0,0,1,1,0
657,2018-02-26,1,0,1,0,1,0
